text,appeal_to_authority,appeal_to_fear,bandwagon,black_white_fallacy,causal_oversimplification,doubt,exaggeration,flag_waving,loaded_language,name_calling,repetition,slogans,thought_terminating_cliche,whataboutism
an Islamic dominionist attitude,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"He has genuinely reached out his hand to help Christian migrants instead of Muslim migrants and he seems to be one that holds to the Christian faith, as emulated by the Protestant Reformers, saying, ""That which serves the glory of God is the best for the people.""",0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hits Nail On The Head,0,0,0,0,0,0,0,0,1,0,0,0,0,0
putting their noses,0,0,0,0,0,0,0,0,1,0,0,0,0,0
untold numbers,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The reason why people are in your country is not because they are refugees, but because they want a German life",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"chaos, anarchy and illegal border crossings",0,0,0,0,0,0,0,0,1,0,0,0,0,0
including the united States,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"They cannot agree on God's law, which most Western societies were base on",0,1,0,0,0,0,0,0,0,0,0,0,0,0
They cannot agree,0,0,0,0,0,0,0,0,0,0,1,0,0,0
They cannot agree on,0,0,0,0,0,0,0,0,0,0,1,0,0,0
leave Hungary and never come back,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hungary would defend its borders, and it has",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Many, all too many",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"them want to overwhelm German values, and European values in general, with sharia values",0,1,0,0,0,0,0,0,0,0,0,0,0,0
to conquer and Islamize it,0,1,0,0,0,0,0,0,0,0,0,0,0,0
internationalist intelligentsia,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fraudulent,0,0,0,0,0,0,0,0,1,0,0,0,0,0
“threatened”,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arabic Linguist for the Navy for five years,0,0,0,0,0,0,0,0,0,0,0,0,0,1
a Senior Intel Analyst for the Department of Defense (DoD),0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lambert also speaks fluent Arabic and Farsi (Persian), along with French and Italian",0,0,0,0,0,0,0,0,0,0,0,0,0,1
former Reagan Justice Dept,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"If Islam is a good religion in itself, as you seem to teach, why did we become Catholic",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"if you don’t believe that Islam is a Religion of Peace, you will be ruthlessly harassed and silenced by the U.S. Conference of Catholic Bishops and the hierarchy elsewhere as well",0,1,0,0,0,0,0,0,0,0,0,0,0,0
the worst of Creation”,0,0,0,0,0,0,0,0,1,1,0,0,0,0
“Naiveté in the face of Islam is suicidal and very dangerous”,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam.”",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The bishops of the Catholic Church are much more concerned that you believe that Islam is a religion of peace than that you believe in, say, the Nicene Creed",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"it does not account for the fact that Islam came AFTER Christ, and so is, and can only be, an Antichrist",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"As a proper Antichrist, Islam exists only as an enemy of all",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"For the Qur’an, Christians “are only impurity”",0,0,0,1,0,0,0,0,0,0,0,0,0,0
all condemned to Hell,0,0,0,0,0,0,0,0,1,0,0,0,0,0
so Allah must exterminate them,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Allah has nothing to offer but war and murder of the “infidels” in exchange for his paradise,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The authors say that Islam can be no ally in the battle “against the powers that want to dominate and enslave the world” because “they share the same totalitarian logic based on the rejection of the kingship of Christ,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jesus has never indicated any other way than that of the Cross,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The letter also contrasts the stance of Islamic countries like Turkey and Saudi Arabia who “do not welcome any refugee” while Pope Francis preaches,0,0,0,0,0,0,0,0,0,0,0,0,0,1
the utter scandal of the pope’s failure,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"disgusted by her cowardice, wounded by equivocal gestures, confused by the lack of evangelization, scandalized by the praise given to Islam … Thus ignorant souls are misled…",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Taking the matter further, they warn, too, of the physical danger the pope’s disposition toward Islam invites, saying that it has resulted in Christians not preparing for a confrontation with Islam",0,1,0,0,0,0,0,0,0,0,0,0,0,0
The headquarters of my archdiocese and my apostolate have been occupied by radical Islamists who want us to convert or die,0,0,0,1,0,0,0,0,0,0,0,0,0,0
You are welcoming into your country an ever increasing number of Muslims. You are in danger as well. You must make strong and courageous decisions,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"This is a matter of life and death, and any complacency towards Islam is treasonous. We do not wish the West to continue with Islamization, nor that your actions contribute to it",0,1,0,0,0,0,0,0,0,0,0,0,0,0
This is a matter of life and death,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Our present sufferings are the prelude to those that you, Europeans and Western Christians, will suffer in the near future",0,1,0,0,0,0,0,0,0,0,0,0,0,0
a hopeless hellhole,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Demolition Man,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sweden. That tells you everything,0,0,0,0,0,0,0,0,0,0,0,0,1,0
a hopeless hellhole where the native population is overtaxed and terrorized by warring foreign gangs,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Of course they can't cope,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mass repression and police powers that don't actually address the cause of the problem,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Are the 2,000 U.S. troops in Syria really up to that task",0,0,0,0,0,1,0,0,0,0,0,0,0,0
risks a major U.S. war with no allies but the Kurds?,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Have the generals taking us into Syria told the president how and when, if ever, they plan to get us out?",0,0,0,0,0,1,0,0,0,0,0,0,0,0
mortal peril,0,1,0,0,0,0,0,0,0,0,0,0,0,0
terror nests,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"terror army,""",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"traitors.""",0,0,0,0,0,0,0,0,0,1,0,0,0,0
blatant attack on the sovereignty and territorial integrity,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"flagrant violation of international law.""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
by what authority do U.S. forces remain to arm troops to keep the Damascus government from reimposing its authority on its own territory?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Donald Trump won the presidency on a promise of no more unnecessary wars,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Have the American people been had again?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Are we prepared for a shooting war with a Syrian army, backed by Russia, Iran, Hezbollah and Shiite militias from Iraq, Afghanistan and Pakistan, to hold onto a fourth of Syria's territory in alliance with Kurds?",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"If Erdogan is serious, a clash with the U.S. is coming",0,1,0,0,0,0,0,0,0,0,0,0,0,0
Does not the Syrian government have a point?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
But who authorized this strategic commitment,0,0,0,0,0,1,0,0,0,0,0,0,0,0
That’s crazy,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly … have fought to create for so many years",0,0,0,0,0,0,1,0,0,0,0,0,0,0
Why would the autopsy report be something that needs to be withheld from the public or his family?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
What is surprising is the level of secrecy surrounding the Las Vegas shooting and the containment of information more than three months after it occurred,0,0,0,0,0,1,0,0,0,0,0,0,0,0
credible evidence,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Something’s not adding up.""",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"There's no threat.""",0,0,0,0,0,0,0,0,0,0,0,0,1,0
shocking claim,0,0,0,0,0,0,0,0,1,0,0,0,0,0
government is covering up a big story about terrorism,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"something is not adding up,”",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"“If ISIS warns about an attack and then an attack occurs and claims responsibility after the fact, it seems to me that at a minimum, they should have some portion of the investigation to clearly debunk that claim and, yet, it hasn’t happened,” he said",0,0,0,0,1,0,0,0,0,0,0,0,0,0
waiting and waiting and waiting,0,0,0,0,0,0,0,0,0,0,1,0,0,0
all Americans,0,0,0,0,0,0,0,1,0,0,0,0,0,0
shocking comments,0,0,0,0,0,0,0,0,1,0,0,0,0,0
all calumny,0,0,0,0,0,0,0,0,1,0,0,0,0,0
kiss and fondle them in the swank,0,0,0,0,0,0,0,0,1,0,0,0,0,0
These people are truly crazy,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shocking move,0,0,0,0,0,0,0,0,1,0,0,0,0,0
truly crazy,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gross negligence,0,0,0,0,0,0,0,0,1,0,1,0,0,0
How was this victim overlooked by investigators but known by Intellihub? Who was this victim?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"a massive cover-up of the truth, the F.B.I. and LVMPD",0,0,0,0,0,1,0,0,0,0,0,0,0,0
law enforcement investigators have never asked to see the footage,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Will the F.B.I. and LVMPD please explain what in the Hell is going on here?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
How many more victims went ignored by investigators?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a massive cover-up of the truth,0,0,0,0,0,0,0,0,1,0,0,0,0,0
please explain what in the Hell,0,0,0,0,0,0,0,0,1,0,0,0,0,0
were people getting haircuts at the crime scene?,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Let’s face it, twice before the attack ISIS warned the United States that they would attack Las Vegas and then after the attack claimed responsibility four times,”",0,0,0,0,1,0,0,0,0,0,0,0,0,0
One can imagine that,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Interestingly,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hitler the Great,0,0,0,0,0,0,0,0,0,1,0,0,0,0
deeply disappointed,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ridiculous exercise in virtue-signaling,0,0,0,0,0,0,0,0,1,0,0,0,0,0
for the crime of telling the truth about Islam and jihad,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"If there’s homosexual men, the punishment is one of five things. One – the easiest one maybe – chop their head off, that’s the easiest. Second – burn them to death. Third – throw ’em off a cliff. Fourth – tear down a wall on them so they die under that. Fifth – a combination of the above.”",0,0,0,1,0,0,0,0,0,0,0,0,0,0
relentlessly appeasement-minded government,0,0,0,0,0,0,0,0,0,1,0,0,0,0
“doesn’t applaud diversity,0,0,0,0,0,0,0,0,1,0,0,0,0,0
We must be vigorous in our intolerance of his intolerance.”,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hitler the Great.’,0,0,0,0,0,0,1,0,0,0,0,0,0,0
corruptly elected,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Islamophobic propaganda,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"he has allegedly “bigoted attitude towards women, ethnic minorities and Muslims",0,0,0,0,0,0,0,0,1,0,0,0,0,0
The motion also notes that the neighbouring Royal Borough of Greenwich formally adopted a similar motion in December last year…,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Meanwhile, Britain has a steadily lengthening record of admitting jihad preachers without a moment of hesitation",0,0,0,0,0,0,0,0,0,0,0,0,0,1
hypocrisy and double standards,0,0,0,0,0,0,0,0,1,0,0,0,0,0
relentlessly appeasement-minded,0,0,0,0,0,0,0,0,1,0,0,0,0,0
He is failing in his leadership and we should not welcome him here. We must be vigorous in our intolerance of his intolerance,1,0,0,0,0,0,0,0,0,0,0,0,0,0
shock and alarm,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Saris like many other Federal judges does not like our current immigration system,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Indonesian Christian,0,0,0,0,0,0,0,0,0,1,0,0,0,0
who thinks it is the job of District Court judges to micromanage the deportation system of the United States,0,0,0,0,1,0,0,0,0,0,0,0,0,0
her little amnesty,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"expressed concern the Indonesians could be deported before their administrative appeals were finished, given their claims they could face religious persecution in the world’s largest majority-Muslim nation",0,1,0,0,0,0,0,0,0,0,0,0,0,0
some minor kritarch,0,0,0,0,0,0,0,0,1,0,0,0,0,0
got her wish,0,0,0,0,0,0,0,0,0,0,0,0,1,0
That’s my concern,0,0,0,0,0,0,0,0,0,0,0,0,1,0
minor kritarch,0,0,0,0,0,0,0,0,0,1,0,0,0,0
the charismatic homosexual/pederast predator Fernando Karadima,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Neither lefties nor stupid,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It’s all in the air,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who am I to judge”,0,0,0,0,0,0,0,0,0,0,0,0,1,0
What happened to ‘Zero Tolerance’ for clerical sexual offenders?”,0,0,0,0,0,0,0,0,0,0,0,0,0,1
to blaze down,0,0,0,0,0,0,0,0,1,0,0,0,0,0
leftist secular journalists,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a “leftist” pope,0,0,0,0,0,0,0,0,0,1,0,0,0,0
her voice cracked with nervousness,0,0,0,0,0,0,0,0,1,0,0,0,0,0
think with your head.”,0,0,0,0,0,0,0,0,0,0,0,0,1,0
you are foolish,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the egregious failures,0,0,0,0,0,0,0,0,1,0,0,0,0,0
this horrified me a lot,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a voyeuristic participant,0,0,0,0,0,0,0,0,0,1,0,0,0,0
priest-abusers,0,0,0,0,0,0,0,0,0,1,0,0,0,0
the notorious homosexual,0,0,0,0,0,0,0,0,0,1,0,0,0,0
the sinister appearance,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the notorious Italian priest-pederast,0,0,0,0,0,0,0,0,0,1,0,0,0,0
the abuse was approved by God,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a loudly trumpeted part,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"“The reluctance of some in the Vatican Curia to implement recommendations or cooperate with the work of a commission when the purpose is to improve the safety of children and vulnerable adults around the world is unacceptable,”",0,1,0,0,0,0,0,0,0,0,0,0,0,0
tossed out,0,0,0,0,0,0,0,0,1,0,0,0,0,0
snippy tone,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unending stream of outrages and embarrassments,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gobsmacked,0,0,0,0,0,0,0,0,1,0,0,0,0,0
serious and painful evil,0,0,0,0,0,0,0,0,1,0,0,0,0,0
leftists who have set up this thing,0,0,0,0,0,0,0,0,0,1,0,0,0,0
calumny” comment,0,0,0,0,0,0,0,0,1,0,0,0,0,0
devastating impact,0,0,0,0,0,0,0,0,1,0,0,0,0,0
unusually contrite,0,0,0,0,0,0,0,0,0,1,0,0,0,0
the kingpin of South American Catholicism,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ignored to death,0,0,0,0,0,0,0,0,1,0,0,0,0,0
under his thumb,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"given Francis’s usual methods, it’s anyone’s guess who in reality is actually dealing with these cases, if anyone",0,0,0,0,0,1,0,0,0,0,0,0,0,0
harsh criticism,0,0,0,0,0,0,0,0,1,0,0,0,0,0
God damn America,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"the terror group, the Nation of Islam",0,0,1,0,0,0,0,0,0,0,0,0,0,0
wicked deceivers,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sucked their blood,0,0,0,0,0,0,0,0,1,0,0,0,0,0
people. You have sucked their blood,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hitler was a very great man,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hitler exterminating six million Jews,0,0,1,0,0,0,0,0,0,0,0,0,0,0
terrorists,0,1,0,0,0,0,0,0,0,0,0,0,0,0
worked as furiously,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nefarious connections,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The Muslim photographer Askia Muhammad, who took this photo of candidate Barack Obama and vicious jihad-supporting racist Louis Farrakhan, knew this would impact the election: he said so. And so he conspired with the terror group, the Nation of Islam, to keep it hidden for 10 years",0,0,0,0,0,1,0,0,0,0,0,0,0,0
that’s a good name. Hitler was a very great man,0,0,0,0,0,0,1,0,0,0,0,0,0,0
how long do you think a nation can do evil and not face the wrath of god,0,0,0,0,0,0,0,0,1,0,0,0,0,0
But don’t nobody ever ask what did they do to Hitler,0,0,0,0,0,0,0,0,0,0,0,0,0,1
will rain destruction upon white America,0,0,0,0,0,0,0,0,1,0,0,0,0,0
sort of in a panic,0,0,0,0,0,0,0,0,1,0,0,0,0,0
shines forth,0,0,0,0,0,0,0,0,1,0,0,0,0,0
My god will wipe this country (America) from the face of the earth,0,1,0,0,0,0,0,0,0,0,0,0,0,0
You are wicked deceivers of the American people. You have sucked their blood,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"The Jews don’t like Farrakhan, so they call me Hitler",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"America is in trouble, and I say God is about to wipe this nation from the face of the Earth. I’m not crazy, I’m not drunk, how long do you think a nation can do evil and not face the wrath of god",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Mother Wheel is a heavily armed spaceship the size of a city, which will rain destruction upon white America but save those who embrace the Nation of Islam",0,1,0,0,0,0,0,0,0,0,0,0,0,0
spiritual advisor,0,0,0,0,0,0,0,0,0,1,0,0,0,0
shaking down white institutions,0,0,0,0,0,0,0,0,1,0,0,0,0,0
black rage,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Reading Obama’s 1995 memoir, you might almost get the impression that after a prudent first term, during his second he might side with, I dunno, Black Lives Matter and encourage a wave of black rage and police retreat that drove up the death toll from murder by 20% in his last two years in office, an incremental death toll a little bigger than the U.S. combat death toll from the equally stupid Iraq War",0,0,0,0,0,1,0,0,0,0,0,0,0,0
was afraid that someone might “break into his apartment” looking for it,0,1,0,0,0,0,0,0,0,0,0,0,0,0
racking my brain,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the deadliest mass shooting in modern U.S. history,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the guy who sold him a hamburger for lunch,0,0,0,0,0,0,1,0,0,0,0,0,0,0
in one fell swoop,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"The family finally got the remains in a box marked ""evidence"" over three months after the shooting and the autopsy report hasn't been finalized? Wait, were the same guys in the autopsy room that were there when the doctors and coroners examined John F Kennedy",0,0,0,0,0,1,0,0,0,0,0,0,0,0
No more games,0,0,0,0,0,0,0,0,0,0,0,0,1,0
How can the autopsy report not be ‘finalized’ when the body was cremated more than five weeks ago,0,0,0,0,0,1,0,0,0,0,0,0,0,0
That's exactly right! Something is rotten in Denmark,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"By the way, the toxicology report was not mentioned in the preliminary report",0,0,0,0,0,1,0,0,0,0,0,0,0,0
drag his feet,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Not only did the coroner drag his feet and release the autopsy reports late Wednesday, but all of the names were redacted in the reports, with no mention of ballistic data, bullet caliber, or trajectories",0,0,0,0,0,1,0,0,0,0,0,0,0,0
America stands with the people of Iran in their courageous struggle for freedom.”,0,0,0,0,0,0,0,1,0,0,0,0,0,0
obsequious acolytes,0,0,0,0,0,0,0,0,0,1,0,0,0,0
despotic mullahs,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pusillanimous,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the nefarious nature of this fascist theocracy,0,0,0,0,0,0,0,0,1,0,0,0,0,0
doesn’t ask “how high” when they say “jump.” Clearly,0,0,0,0,0,0,0,0,1,0,0,0,0,0
docile posture,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"weak, indecisive and ineffectual",0,0,0,0,0,0,0,0,1,0,0,0,0,0
misguided effort,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Obama sold everything including the kitchen sink,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fecklessness through appeasement,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Obama’s groveling,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mischief-making,0,0,0,0,0,0,0,0,1,0,0,0,0,0
he didn’t think that the seizure of Americans was important enough to note,0,0,0,0,0,0,0,1,0,0,0,0,0,0
a new sheriff in town,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fascist theocracy,0,0,1,0,0,0,0,0,0,0,0,0,0,0
messianic zealotry,0,0,0,0,0,0,0,0,0,1,0,0,0,0
deterrent effect,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ritualistic, belligerent encounters",0,0,0,0,0,0,0,0,1,0,0,0,0,0
empty rhetoric,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I had no way to see into his mind,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Haig did not mention the incendiary rounds -- which are meant to ignite what they hit -- in Friday's news conference,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sickness. Horror,0,0,0,0,0,0,0,0,1,0,0,0,0,0
One woman (was) screaming through my door that I should be killed and I should die,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"will proclaim, with all clarity, unambiguity and beauty",0,0,0,0,0,0,0,0,1,0,0,0,0,0
would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Such a reading is causing “rampant confusion,” will spread “a plague of divorce” in the Church, and is “alien” to the Church’s entire faith and Tradition",0,0,0,0,0,0,0,0,1,0,0,0,0,0
and it would be a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"the “beautiful explanations” that are being presented to clergy and faithful as “discernment” and “pastoral accompaniment,” or a “change of paradigm” and “discovery of the subjective part of the truth,” when translated into “common sense language,” are tantamount to an allowance to sin",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"As Successors of the Apostles, Schneider said they “could not act in another way.”",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Some of these norms, Schneider told LifeSiteNews, give “implicit approval” of divorce and of sexual activity outside a valid marriage",1,0,0,0,0,0,0,0,0,0,0,0,0,0
plague of divorce,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"As Successors of the Apostles, Schneider said they “could not act in another way",0,0,0,1,0,0,0,0,0,0,0,0,0,0
a gun running operation gone wrong every day,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pounded on his door,0,0,0,0,0,0,0,0,1,0,0,0,0,0
to lob wild claims,0,0,0,0,0,0,0,0,1,0,0,0,0,0
posted an article this week that pointed to Haig's background in the aerospace industry as a sign of U.S. government involvement in the massacre,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a CIA cut-out,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a noxious far-right personality,0,0,0,0,0,0,0,0,0,1,0,0,0,0
started making hay,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I've seen all kinds of people. There were no tells,0,0,0,0,0,0,0,0,0,0,0,0,1,0
had absolutely nothing to do,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the Las Vegas mass shooter,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Las Vegas mass murderer,0,0,0,0,0,0,0,0,0,1,0,0,0,0
internet's conspiracy-theorist-in-chief,0,0,0,0,0,0,0,0,0,1,0,0,0,0
YouTube conspiracy theorist,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Did he know something that Stephen Paddock was going to do,0,0,0,0,0,1,0,0,0,0,0,0,0,0
his most theologically unsettling point,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"bad for evangelization,”",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Could we possibly say, for instance, that it’s impossible to judge the presidency of Donald Trump relative to past presidents",0,0,0,0,0,1,0,0,0,0,0,0,0,0
a genuinely surprising position,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a combination of rhetorical tricks and soft-peddled Hegelianism,0,0,0,0,0,0,0,0,1,0,0,0,0,0
a lovely suggestion,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rank historicism,0,0,0,0,0,0,0,0,1,0,0,0,0,0
There are different responses to the same question in different times.”,0,0,0,0,0,0,0,0,0,0,0,0,1,0
has a dog in this fight,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it",0,0,0,0,1,0,0,0,0,0,0,0,0,0
Were priests throughout history in fact misleading their divorced and remarried parishioners by telling them they could not receive communion,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"If we don’t, we will find ourselves, in the words of Pope Benedict, in “a dictatorship of relativism that does not recognize anything as definitive and whose ultimate goal consists solely of one’s own ego and desires",0,1,0,0,0,0,0,0,0,0,0,0,0,0
blatant hypocrisy,0,0,0,0,0,0,0,0,1,0,0,0,0,0
“Dirty Bomber”,0,0,0,0,0,0,0,0,0,1,0,0,0,0
apes and swine,0,0,0,0,0,0,0,0,0,1,0,0,0,0
perverted transgressors,0,0,0,0,0,0,0,0,0,1,0,0,0,0
under divine displeasure,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Failure to do so exposes the party’s liberal agenda as a sham,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"This may seem an innocent mistake on the imam’s part, but his actions against the gay community and sinister views are anything but",0,0,0,0,0,1,0,0,0,0,0,0,0,0
white supremacist,0,0,0,0,0,0,0,0,0,1,0,0,0,0
a man to believe in!”,0,0,0,0,0,0,0,0,0,0,0,1,0,0
a paedophile priest,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"tired of fighting, crying and suffering,""",0,0,0,0,0,0,0,0,1,0,0,0,0,0
doing all the dirty work,0,0,0,0,0,0,0,0,1,0,0,0,0,0
don't be like the others,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disgraced predecessor,0,0,0,0,0,0,0,0,0,1,0,0,0,0
paedophile priests,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dramatically disrupted,0,0,0,0,0,0,0,0,1,0,0,0,0,0
horror of having experienced this abuse and how I wanted to kill myself,0,0,0,0,0,0,0,0,1,0,0,0,0,0
the three bishops solemnly professed,0,0,0,0,0,0,0,0,1,0,0,0,0,0
in defense of the sanctity and the indissolubility of marriage,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"will proclaim, with all clarity, unambiguity and beauty, the sanctity of marriage, and of the family, and of the Eucharist,”",0,0,0,0,0,0,0,0,1,0,0,0,0,0
a beautiful common voice defending the sanctity and the indissolubility of marriage in the midst of a real neo-pagan society where divorce has become a plague and where sexual depravity is increasingly spreading.”,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"I regard him as an outstanding human being who commands a following of individuals who are learned and articulate and he plays a big role in the lives of thousands and thousands and thousands and thousands of people,”",1,0,0,0,0,0,0,0,0,0,0,0,0,0
Would a Republican get a pass on meeting with a racist hate group leader? Obviously not,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Don't expect it to condemn Rep. Davis' comments. He was just saying what most of them think,0,0,0,0,1,0,0,0,0,0,0,0,0,0
